DATE,AVG_RESP
1/10/2023,102.89
2/10/2023,114.3
3/10/2023,128.62
4/10/2023,117.06
5/10/2023,116.45
6/10/2023,110.29
7/10/2023,116.99
8/10/2023,105.45
9/10/2023,106.42
10/10/2023,134.64
11/10/2023,116.67
12/10/2023,115.68
13/10/2023,112.37
14/10/2023,126.53
15/10/2023,111.95
16/10/2023,120.93
17/10/2023,110.16
18/10/2023,114.24
19/10/2023,119.24
20/10/2023,107.95
21/10/2023,118.82
22/10/2023,120.47
23/10/2023,103.65
24/10/2023,118.25
25/10/2023,135.99
26/10/2023,132.9
27/10/2023,120.73
28/10/2023,131.94
29/10/2023,120.08
30/10/2023,102.05
31/10/2023,111.11
1/11/2023,102.96
2/11/2023,119.94
3/11/2023,112.65
4/11/2023,103.95
5/11/2023,112.25
6/11/2023,117.64
7/11/2023,102.42
8/11/2023,104.46
9/11/2023,128.73
10/11/2023,106.8
11/11/2023,120.6
12/11/2023,129.27
13/11/2023,131.03
14/11/2023,131.25
15/11/2023,121.9
16/11/2023,129.99
17/11/2023,109.01
18/11/2023,120.54
19/11/2023,105.59
20/11/2023,125.67
21/11/2023,104.83
22/11/2023,136.32
23/11/2023,126.63
24/11/2023,134.31
25/11/2023,108.34
26/11/2023,129.4
27/11/2023,109.7
28/11/2023,123.46
29/11/2023,109.66
30/11/2023,108.09
1/12/2023,119.32
2/12/2023,131.72
3/12/2023,106.6
4/12/2023,118.17
5/12/2023,107.01
6/12/2023,125.7
7/12/2023,119.68
8/12/2023,125.58
9/12/2023,119.12
10/12/2023,129.44
11/12/2023,136.87
12/12/2023,122.84
13/12/2023,102.05
14/12/2023,125.8
15/12/2023,131.75
16/12/2023,108.85
17/12/2023,104.15
18/12/2023,136.51
19/12/2023,120.03
20/12/2023,112.47
21/12/2023,112.27
22/12/2023,131.37
23/12/2023,114.24
24/12/2023,112.16
25/12/2023,135.88
26/12/2023,119.01
27/12/2023,105.58
28/12/2023,123.35
29/12/2023,132.03
30/12/2023,122.52
31/12/2023,130.68
1/01/2024,158.77
2/01/2024,122.83
3/01/2024,121.41
4/01/2024,126.8
5/01/2024,138.68
6/01/2024,117.29
7/01/2024,102.84
8/01/2024,129.22
9/01/2024,118.92
10/01/2024,117.07
11/01/2024,137.41
12/01/2024,124.32
13/01/2024,121.6
14/01/2024,101.53
15/01/2024,109.93
16/01/2024,112.01
17/01/2024,128.73
18/01/2024,122.09
19/01/2024,117.82
20/01/2024,100.49
21/01/2024,98.09
