Crime_Main,Crime,Date,Day,Hour,Count,Resp_TS
Other,Assault Incidents,1/01/2024,Monday,0,32,78.15885417
Other,Assault Incidents,1/01/2024,Monday,1,34,87.4622549
Other,Assault Incidents,1/01/2024,Monday,2,34,83.475
Other,Assault Incidents,1/01/2024,Monday,3,38,98.53157895
Other,Assault Incidents,1/01/2024,Monday,4,39,108.2183761
Other,Assault Incidents,1/01/2024,Monday,5,26,100.5044872
Other,Assault Incidents,1/01/2024,Monday,6,28,89.20119047
Other,Assault Incidents,1/01/2024,Monday,7,28,90.28809524
Other,Assault Incidents,1/01/2024,Monday,8,12,151.7625
Other,Assault Incidents,1/01/2024,Monday,9,22,104.0166667
Other,Assault Incidents,1/01/2024,Monday,10,15,81.38888889
Other,Assault Incidents,1/01/2024,Monday,11,16,135.8208333
Other,Assault Incidents,1/01/2024,Monday,12,13,101.3948718
Other,Assault Incidents,1/01/2024,Monday,13,29,96.44310345
Other,Assault Incidents,1/01/2024,Monday,14,22,77.65833333
Other,Assault Incidents,1/01/2024,Monday,15,23,147.3594203
Other,Assault Incidents,1/01/2024,Monday,16,12,158.0486111
Other,Assault Incidents,1/01/2024,Monday,17,13,108.7
Other,Assault Incidents,1/01/2024,Monday,18,16,90.5
Other,Assault Incidents,1/01/2024,Monday,19,21,93.73174604
Other,Assault Incidents,1/01/2024,Monday,20,24,104.2881944
Other,Assault Incidents,1/01/2024,Monday,21,25,80.006
Other,Assault Incidents,1/01/2024,Monday,22,11,51.60757576
Other,Assault Incidents,1/01/2024,Monday,23,11,49.87575758
Other,Assault Incidents,1/02/2024,Thursday,0,7,69.89761906
Other,Assault Incidents,1/02/2024,Thursday,1,6,255.9666667
Other,Assault Incidents,1/02/2024,Thursday,2,9,74.15185185
Other,Assault Incidents,1/02/2024,Thursday,3,5,125.6166667
Other,Assault Incidents,1/02/2024,Thursday,4,6,80.46944444
Other,Assault Incidents,1/02/2024,Thursday,5,10,71.31
Other,Assault Incidents,1/02/2024,Thursday,6,6,82.7388889
Other,Assault Incidents,1/02/2024,Thursday,7,12,167.2569444
Other,Assault Incidents,1/02/2024,Thursday,8,21,69.37142857
Other,Assault Incidents,1/02/2024,Thursday,9,16,73.896875
Other,Assault Incidents,1/02/2024,Thursday,10,8,118.7208333
Other,Assault Incidents,1/02/2024,Thursday,11,13,178.6910256
Other,Assault Incidents,1/02/2024,Thursday,12,16,123.95625
Other,Assault Incidents,1/02/2024,Thursday,13,15,100.6744444
Other,Assault Incidents,1/02/2024,Thursday,14,15,123.3444444
Other,Assault Incidents,1/02/2024,Thursday,15,18,92.27314815
Other,Assault Incidents,1/02/2024,Thursday,16,20,82.14
Other,Assault Incidents,1/02/2024,Thursday,17,19,113.5649123
Other,Assault Incidents,1/02/2024,Thursday,18,15,90.94333333
Other,Assault Incidents,1/02/2024,Thursday,19,17,103.5715686
Other,Assault Incidents,1/02/2024,Thursday,20,16,104.9166667
Other,Assault Incidents,1/02/2024,Thursday,21,7,69.35952382
Other,Assault Incidents,1/02/2024,Thursday,22,14,72.54404762
Other,Assault Incidents,1/02/2024,Thursday,23,12,121.4944444
Other,Assault Incidents,1/03/2024,Friday,0,18,113.5
Other,Assault Incidents,1/03/2024,Friday,1,6,72.5
Other,Assault Incidents,1/03/2024,Friday,2,16,73.5625
Other,Assault Incidents,1/03/2024,Friday,3,9,43.77777778
